售价,每平米,小区名称,所处区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,房屋用途,交易权属
690万,103140,北新仓胡同,"东城,东直门",2室1厅1厨1卫,中楼层 (共14层),66.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,房屋用途,商品房
558万,89038,兴化西里,"东城,和平里",2室1厅1厨2卫,中楼层 (共5层),62.67㎡,平层,62.67㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,房屋用途,商品房
1050万,62523,雍和家园二期,"东城,和平里",2室1厅1厨2卫,中楼层 (共6层),167.94㎡,平层,140㎡,板楼,东,钢混结构,简装,两梯六户,集中供暖,有,70年,房屋用途,商品房
1070万,95315,和平新城一期,"东城,和平里",3室1厅1厨2卫,中楼层 (共19层),112.26㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,三梯十户,自供暖,有,70年,房屋用途,商品房
1490万,113059,海晟名苑南区,"东城,工体",2室2厅1厨2卫,高楼层 (共22层),131.79㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,商品房
650万,114619,和平里三区,"东城,和平里",2室1厅1厨1卫,底层 (共6层),56.71㎡,平层,45㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,央产房
718万,84233,广渠家园,"东城,广渠门",3室1厅1厨1卫,高楼层 (共28层),85.24㎡,平层,67.43㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,房屋用途,二类经济适用房
730万,93232,民安小区东直门内北小街,"东城,东直门",2室1厅1厨1卫,底层 (共14层),78.3㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,商品房
499万,69518,景泰东里,"东城,蒲黄榆",2室1厅1厨1卫,顶层 (共9层),71.78㎡,平层,54.03㎡,板塔结合,南 北,混合结构,精装,四梯五十户,集中供暖,有,70年,房屋用途,已购公房
613万,100906,新景家园东区,"东城,崇文门",1室1厅1厨1卫,中楼层 (共12层),60.75㎡,平层,48.7㎡,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,70年,房屋用途,二类经济适用房
